aback,wstecz
inflect,odmieniać
inflict,zadać
influence,wpływ
influenza,grypa
influx,napływ
informal,nieformalny
informative,informacyjny
inform,poinformować
infrared,podczerwień
infrastructure,infrastruktura
infringe,łamać
infuriate,rozwścieczyć
infuse,zaparzać
ingenious,pomysłowy
ingenuity,pomysłowość
ingest,łykać
ingrain,zakorzeniony
ingredient,składnik
inhabit,zamieszkać
inhale,wdychać
inherent,nieodłączny
inherit,dziedziczyć
inhibit,hamować
initial,inicjał
initiate,zainicjować
inject,wstrzykiwać
injunction,nakaz
injure,zranić
ink,atrament
inkling,poczucie
inland,śródlądowy
inlay,intarsja
inlet,wlot
inmate,więzień
innate,wrodzony
innings,okres pełnienia obowiązków
innocence,niewinność
innocent,niewinny
innocuous,nieszkodliwy
innovate,wprowadzać innowacje
innovative,innowacyjny
innuendo,insynuacja
innumerable,bez liku
inn,zajazd
inoculate,zaszczepić
inordinate,nadmierny
input,wejście
inquest,śledztwo
inquire,dowiadywać się
inquisition,inkwizycja
inquisitive,ciekawy
insatiable,nienasycony
inscribe,wpisać
inscription,napis
inscrutable,tajemniczy
insecticide,środek owadobójczy
insect,owad
inseparable,nierozerwalny
insert,wstawić
inset,wstawka
inshore,przybrzeżne
inside,wewnątrz
insidious,podstępny
insight,wgląd
insignia,insygnia
insinuate,insynuować
insist,obstawać
insolent,bezczelny
insolvent,niewypłacalny
insomnia,bezsenność
inspect,sprawdzać
inspire,inspirować
install,zainstalować
instance,instancja
instant,natychmiastowy
instead,zamiast
instigate,podżegać
instil,zaszczepić
instinct,instynkt
institute,instytut
institution,instytucja
instruct,pouczać
instrument,instrument
insular,wyspiarski
insulate,izolować
insulin,insulina
insult,zniewaga
insure,ubezpieczać
insurgent,powstaniec
insurrection,insurekcja
intact,nienaruszony
intake,wlot
integer,liczba całkowita
integral,całka
integrate,zintegrować
integrity,integralność
intellect,intelekt
intellectual,intelektualny
intelligence,inteligencja
intelligent,inteligentny
intelligentsia,inteligencja
intelligible,zrozumiały
intend,zamierzać
intense,intensywny
intent,zamiar
interact,oddziaływać
intercede,interweniować
intercept,przechwycić
interchange,wymieniać
intercom,awiofon
intercourse,stosunek płciowy
interdependent,współzależny
interest,zainteresowanie
interface,berło
interfere,kolidować
interim,tymczasowy
interior,wnętrze
interject,wtrącić
interlock,splatać
interlocutor,rozmówca
interlude,interludium
intermediary,pośrednik
intermediate,pośredni
interminable,nie kończący się
intermittent,przerywany
internal,wewnętrzny
international,międzynarodowy
internet,internet
intern,stażysta
interplay,wzajemne oddziaływanie
inter,pochować
interpret,interpretować
interrogate,przesłuchać
interrupt,przerwać
intersect,krzyżować
intersperse,przeplatać
interstellar,międzygwiezdny
interval,interwał
intervene,interweniować
interview,wywiad
interweave,przeplatać
intestine,jelito
intifada,intifada
intimate,intymny
intimidate,zastraszyć
intolerable,nie do zniesienia
intone,intonować
into,w
intoxicate,upajać
intractable,trudny
intransigent,nieprzejednany
intravenous,dożylny
intrepid,nieustraszony
intricacy,zawiłość
intricate,zawiły
intrigue,intryga
intrinsic,wewnętrzny
introduce,przedstawiać
introspect,analizować własne myśli i uczucia
introvert,introwertyk
intrude,niepokoić
intrusion,wtargnięcie
intrusive,natrętny
intuition,intuicja
intuitive,intuicyjny
inundate,zalać
invade,najechać
invalid,nieważny
invasion,inwazja
invasive,zaborczy
inventive,wynalazczy
inventory,inwentarz
invent,wymyślać
inverse,odwrotność
inversion,odwrócenie
invertebrate,bezkręgowy
invert,odwracać
investigate,zbadać
invest,inwestować
invigorate,orzeźwiać
invincible,niezwyciężony
invite,zapraszam
invoice,faktura
invoke,odwołać się
involuntary,mimowolny
involve,angażować
in,w
iodine,jod
ion,jon
irate,zirytowany
iris,irys
ironed,wyprasowany
irony,ironia
iron,żelazo
irradiate,naświetlać
irresistible,nieodparty
irreverent,lekceważący
irrevocable,nieodwołalny
irrigate,nawadniać
irritable,drażliwy
irritate,irytować
island,wyspa
isle,wyspa
isolate,izolować
isotope,izotop
issue,kwestia
italic,italski
itch,swędzenie
item,pozycja
iterate,powtarzać
itinerant,wędrowny
itinerary,plan podróży
it,to
ivory,kość słoniowa
ivy,bluszcz
jab,ukłucie
jacked,pobudzony podekscytowany / napakowany (umięśniony)
jacket,kurtka
jackpot,pula
jaded,sterany
jade,jadeit
jagged,szczerbaty
jaguar,jaguar
jail,więzienie
jam,dżem
jangle,brzęk
january,styczeń
jargon,żargon
jarring,rażący
jar,słoik
jasmine,jaśmin
jaundice,żółtaczka
jaunt,wypad
jaw,szczęka
jay,sójka
jazz,jazz
jealousy,zazdrość
jealous,zazdrosny
jeans,dżinsy
jeep,jeep
jeer,docinek
jelly,galaretka
jeopardy,niebezpieczeństwo
jerk,szarpnięcie
jersey,golf
jest,żart
jet,strumień
jettison,wyrzucanie za bortę jako balast
jetty,molo
jewel,klejnot
jewellery,biżuteria
jig,giga (rodzaj tańca) / zacisk / dowcip
jigsaw,puzzle
jihad,święta wojna
jingle,brzęk
jitter,drganie
job,praca
jockey,oszukać
jog,biec truchtem
joiner,stolarz
join,przystąp
joint,połączenie
joist,legar
joke,żart
jolly,wesoły
jolt,wstrząs
jostle,popchnąć
jot,odrobina
journal,dziennik
journalism,dziennikarstwo
journalist,dziennikarz
journey,podróż
jovial,jowialny
joy,radość
jubilant,uradowany
jubilee,jubileusz
judge,sędzia
judicial,sądowy
judiciary,sądownictwo
judicious,rozsądny
jug,dzbanek
juggle,żonglować
juice,sok
july,lipiec
jumble,mieszanina
jumbo,landara
jump,skok
junction,węzeł
juncture,połączenie
june,czerwiec
jungle,dżungla
junior,junior
juniper,jałowiec
junk,dżonka
junkie,ćpunem
junta,junta
jurisdiction,jurysdykcja
jurist,prawnik
juror,juror
jury,jury
jus,jus
justice,sprawiedliwość
justify,uzasadniać
justly,sprawiedliwie
just,właśnie
jut,występ
juvenile,nieletni
juxtapose,zestawić ze sobą
kaiser,kajzer
kaleidoscope,kalejdoskop
kangaroo,kangur
karate,karate
kayak,kajak
keel,kil
keen,zapalony
keep,trzymać
keg,beczka
kennel,psiarnia
kernel,jądro
ketchup,keczup
kettle,czajnik
keyboard,klawiatura
key,klucz
khaki,khaki
kick,kopnięcie
kidding,żartuję
kid,dziecko
kidnap,porwać kogoś
kidney,nerka
kill,zabić
kiln,suszarnia
kilogram,kilogram
kilo,kilogram
kilometre,kilometr
kilowatt,kilowat
kindergarten,przedszkole
kindle,rozpalać
kindly,uprzejmie
kind,uprzejmy
kinetic,kinetyczny
king,król
kin,krewni
kink,skręt
kinsman,pobratymiec
kiosk,kiosk
kip,wyrko
kiss,pocałunek
kitchen,kuchnia
kite,latawiec
kitten,kotek
kit,zestaw
kiwi,kiwi
knack,dryg
knead,ugniatać
knee,kolano
kneel,klęczeć
knickers,majtki po kolana
knife,nóż
knight,rycerz
knit,robić na drutach
knob,pokrętło
knock,pukanie
knot,węzeł
knowledge,"wiedza, umiejętności"
know,wiedzieć
knuckle,golonka
koran,koran
kosher,koszerny
label,etykieta
laboratory,laboratorium
laborious,pracochłonny
labour,rodzić
labyrinth,labirynt
lace,sznurówka
lack,brak
lacquer,lakier
lad,chłopak
ladder,drabina
laden,obciążony
ladle,chochla
lady,dama
lager,lager
lagoon,laguna
lag,opóźnienie
lair,leże
laity,laicy
lake,jezioro
lamb,owieczka
lame,kulawy
lament,lament
laminate,laminat
lamp,lampa
lance,lanca
landlady,gospodyni
landlord,gospodarz
landmark,element krajobrazu
landscape,krajobraz
land,wylądować
lane,pas ruchu
language,język
languid,ospały
languish,pokutować
lanky,chudy
lantern,latarnia
lapel,klapa
lapped,docierane
lap,podołek
lapse,pomyłka
large,duży
lark,skowronek
larva,larwa
laser,laser
lash,bicz
lass,dziewczyna
lasted,trwało
last,ostatni ubiegły zeszły
latch,zatrzask
latent,utajony
late,późno
lateral,boczny
latex,lateks
latitude,szerokość
latter,końcowy
lattice,krata
laud,chwalić
laugh,śmiech
laughter,śmiech
launch,uruchomić
laundry,pralnia
laureate,laureat
laurel,laur
lava,lawa
lavatory,toaleta
lavender,lawenda
lavish,rozrzutny
lawn,trawnik
law,prawo
lawyer,prawnik
lax,niedbały
layer,warstwa
lay,kłaść
lazy,leniwy
leach,ługować
leaded,ołowiowej
lead,prowadzić
leaflet,ulotka
leaf,liść
league,liga
leak,nieszczelność
leaner,szczuplejsze
lean,pochylać się
leap,skok
learn,uczyć się
lease,wynajem
leash,smycz
least,najmniej
leather,skórzany
leave,pozostawiać
lecture,wykład
ledge,półka
ledger,księga główna
leek,por
leer,chytre spojrzenie
left,lewo
legacy,dziedzictwo
legal,prawny
legend,legenda
legible,czytelny
legion,legion
legislate,wprowadzać ustawodawstwo
legislature,legislatura
legitimate,prawowity
legitimise,usankcjonować
leg,noga
leisure,wolny czas
lemonade,Lemoniada
lemon,cytrynowy
lend,wypożyczać
length,długość
lenient,łagodny
lens,obiektyw
lentil,soczewica
leopard,lampart
leper,trędowaty
lesbian,lesbijka
lesion,zmiana patologiczna
less,mniej
lesson,lekcja
lest,aby nie
lethal,śmiertelny
lethargy,letarg
let,pozwolić
letter,list
lettuce,sałata
leukaemia,białaczka
level,poziom
lever,dźwignia
levy,nałożyć
lexical,leksykalny
lexicon,leksykon
liable,podatny
liaison,łączność
libel,oszczerstwo
liberal,liberał
liberate,uwalniać
libertarian,libertarianin
liberty,wolność
libido,libido
library,biblioteka
licence,licencja
lichen,porost
lick,lizać
lid,pokrywa
lie,kłamstwo
lien,zastaw
lieutenant,porucznik
lifeline,linia życia
life,życie
lift,winda
ligament,wiązadło
light,lekki
lightly,lekko
lightning,błyskawica
like,lubić
likely,prawdopodobne
likeness,podobieństwo
liken,porównać
likewise,również
lilac,liliowy
lilt,pieśń
lily,lilia
limb,kończyna
limbo,otchłań
limelight,światło wapienne
lime,limonka
limit,limit
limousine,limuzyna
limp,utykać
lineage,rodowód
linear,liniowy
line,linia
linen,bielizna
liner,liniowiec
linger,marudzić
ling,molwa
linguistic,lingwistyczny
linguist,językoznawca
lining,podkład
link,połączyć
linoleum,linoleum
lion,lew
lipid,lipidowa
lip,warga
liqueur,likier
liquidate,zlikwidować
liquid,ciekły
liquor,trunek
listen,słuchać
listless,apatyczny
list,lista
litany,litania
lite,lite
literacy,alfabetyzacja
literal,dosłowny
literary,literacki
literature,literatura
lithe,gibki
lithograph,litografia
litigant,sporny
litigate,procesować się
litre,litr
litter,śmieci
little,mało
liturgy,liturgia
livelihood,utrzymanie
lively,żywy
live,relacja na żywo
liver,wątroba
livery,liberia
lizard,jaszczurka
load,załaduj
loaf,bochenek
loafed,loafed
loan,pożyczka
loathe,brzydzić
lobby,lobby
lobe,płat
lob,lob (wysokie odbicie piłki)
lobster,homar
locale,ustawienie regionalne / miejsce akcji
locality,miejscowość
local,lokalny
locate,znajdź
loch,jezioro
locker,szafka
lock,zamek
locomotive,lokomotywa
locust,szarańcza
locus,umiejscowienie
lodge,wigwam
loft,strych
lofty,wysoki
logic,logika
logistics,logistyka
log,log
logo,logo
loin,polędwica
loiter,marudzić
loll,rozwalać się
lo,lo
lone,samotny
long,długo
longevity,długość życia
longing,tęsknota
longitude,długość geograficzna
longitudinal,wzdłużny
look,popatrz
loom,warsztat tkacki
loony,szalony
loophole,luka
loop,pętla
loose,luźny
loot,łup
loo,toaleta
lope,sus
lord,lord
lore,fabuła
lorry,ciężarówka
lose,stracić
loss,utrata
lotion,płyn kosmetyczny
lot,los
lottery,loteria
lotus,lotos
loud,głośny
lounge,hol
louse,wesz
lousy,parszywy
lovely,śliczny
love,miłość
lower,niższy
low,niska
loyal,wierny
lubricant,smar
lubricate,smarować
lucid,przejrzysty
luck,szczęście
lucrative,lukratywny
ludicrous,śmieszny
luggage,bagaż
lug,targać
lukewarm,letni
lull,zastój
lumber,graty
luminous,świetlny
lump,guzek
lunar,księżycowy
lunatic,wariat
luncheon,lunch
lunch,lunch
lunge,lonża
lung,płuco
lurch,przechył
lure,wabik
lurid,ponury
lurk,przyczaić się
luscious,soczysty
lush,bujny
lustre,połysk
lust,żądza
luxury,luksus
lymph,limfa
lymphocyte,limfocyt
lymphoma,chłoniak
lynch,zlinczować
lyric,liryczny
macabre,makabryczny
machine,maszyna
mach,mach
macho,macho
mackerel,makrela
macroeconomic,makroekonomiczna
macro,makro
madam,szanowna pani
mad,szalony
maestro,maestro
mafia,mafia
magazine,magazyn
maggot,czerw
magic,magia
magistrate,sędzia
magma,magma
magnate,magnat
magnesium,magnez
magnet,magnes
magnificent,wspaniały
magnify,powiększać
magnitude,wielkość
magnolia,magnolia
magnum,magnum
mahogany,mahoń
maiden,dziewica
maid,pokojówka
mail,poczta
maim,okaleczyć
mainframe,główna rama
main,główny
mainstay,filar
maintain,utrzymać
maize,kukurydza
majestic,majestatyczny
majesty,majestat
majority,większość
major,poważny
majors,kierunków
make,robić
makeshift,prowizoryczny
makeup,makijaż
malaise,złe samopoczucie
malaria,malaria
male,męski
malevolent,wrogi
malfunction,usterka
malice,złośliwość
malicious,złośliwy
malign,złośliwy
mall,centrum handlowe
malleable,ciągliwy
malnutrition,niedożywienie
malpractice,zaniedbanie
malt,słód
mama,mama
mammal,ssak
mammoth,mamut
manage,zarządzać
man,człowiek
mandarin,mandarynka
mandate,mandat
mandatory,obowiązkowy
mandible,żuchwa
mane,grzywa
mangle,magiel
mango,mango
maniac,maniak
mania,mania
manic,maniakalny
manicure,manicure
manifest,oczywisty
manifesto,manifest
manifold,kolektor
manipulate,manipulować
mankind,ludzkość
mannerism,manieryzm
manner,sposób
manoeuvre,manewr
manor,dwór
mansion,dwór
manslaughter,zabójstwo
mantelpiece,obramowanie kominka
mantle,płaszcz
mantra,mantra
manual,podręcznik
manufacture,produkcja
manure,nawóz
manuscript,rękopis
many,wiele
maple,klon
map,mapa
marathon,maraton
maraud,grasować
marble,marmur
marched,maszerował
march,marsz
mare,klacz
margarine,margaryna
margin,margines
marijuana,marihuana
marinade,marynata
marina,przystań
marinate,marinate
marine,morski
mariner,marynarz
marines,marines
marital,małżeński
maritime,morski
market,rynek
marksman,snajper
mark,znak
marmalade,marmolada
maroon,kasztanowaty
marquee,duży namiot
marquis,markiz
marrow,szpik kostny
marry,ożenić
marshal,marszałek
marsh,bagno
marten,kuna
martial,wojenny
martini,martini
mart,targowisko
martyr,męczennik
marvel,podziwiać
mar,zniszczyć
mascara,tusz do rzęs
mascot,maskotka
masculine,rodzaj męski
mash,zacier
mask,maska
masonry,kamieniarstwo
masons,murarzy
masquerade,maskarada
massacre,masakra
massage,masaż
massive,masywny
mass,masa
master,mistrz
masterpiece,arcydzieło
mast,maszt
masturbate,uprawiać masturbację
match,mecz
mate,kumpel
materialize,zmaterializować
material,materiał
maternal,macierzyński
maternity,macierzyństwo
mathematics,matematyka
mat,mata
matrimony,małżeństwo
matrix,matryca
matron,matrona
matter,materia
mattress,materac
mature,dojrzały
maul,zmasakrować
mausoleum,mauzoleum
mauve,fiołkoworóżowy
maverick,indywidualista niezależny
maximal,maksymalny
maximise,wyolbrzymiać
maxim,maksyma
maximum,maksymalny
maybe,może
mayhem,okaleczenie
may,może
mayonnaise,majonez
mayor,burmistrz
maze,labirynt
mead,miód pitny
meadow,łąka
meagre,skromny
meal,posiłek
meander,meandry
meaner,meaner
mean,oznaczać
meantime,w międzyczasie
meanwhile,w międzyczasie
measles,odra
measure,pomiar
meat,mięso
mechanic,mechanik
mechanise,zmechanizowania
mechanism,mechanizm
medallion,medalion
medal,medal
meddle,wtrącić się
media,głoska bezdźwięczna
median,mediana
mediate,pośredniczyć
medical,medyczny
medication,lek
medicine,medycyna
medic,lekarski
medieval,średniowieczny
mediocre,przeciętny
meditate,medytować
medium,średni
medley,składanka
meek,cichy
meet,spotykać się
megabyte,megabajta
mega,mega
megawatt,megawat
melancholy,melancholia
melanoma,czerniak
mellow,łagodny
melodrama,melodramat
melodramatic,melodramatyczny
melody,melodia
melon,melon
melt,topnieć
member,członek
membrane,membrana
memento,memento
memoir,rozprawa
memo,notatka
memorabilia,pamiątki
memorable,niezapomniany
memorandum,memorandum
memory,pamięć
menace,groźba
mend,zaszyć
meningitis,zapalenie opon mózgowych
menopause,klimakterium
menstruate,miesiączkować
mental,psychiczny
mention,wzmianka
mentor,mentor
menu,menu
mercantile,handlowy
mercenary,najemnik
merchandise,towar
merchant,kupiec
mercury,rtęć
mercy,łaska
mere,sam
merge,łączyć
meridian,południk
merit,zasługa
mermaid,syrena
merry,wesoły
mesh,siatka
mesmerise,hipnotyzować
message,wiadomość
mess,bałagan
messenger,posłaniec
messiah,mesjasz
metabolic,metaboliczny
metabolism,metabolizm
metal,metal
metamorphose,przemieniać
metaphor,metafora
metaphysic,metafizyka
metastasis,przerzut
meteor,meteor
meteorological,meteorologiczny
meteorology,meteorologia
methane,metan
method,metoda
methyl,metyl
meticulous,skrupulatny
metre,metr
metro,metro
metropolis,metropolia
metropolitan,metropolita
microbe,mikrob
microbiology,mikrobiologia
microcomputer,mikrokomputer
microcosm,mikrokosmos
microfilm,mikrofilm
micro,mikro
micron,mikron
microorganism,mikroorganizm
microphone,mikrofon
microprocessor,mikroprocesor
microscope,mikroskop
microwave,kuchenka mikrofalowa
middle,środkowy
mid,środek
midst,środek
midwife,położna
might,moc
mighty,potężny
migraine,migrena
migrant,emigrant
migrate,migrować
mild,łagodny: lekki
mile,mila
milieu,środowisko otoczenie
militant,wojowniczy
military,wojskowy
militia,milicja
milk,mleko
millennium,tysiąclecie
millet,proso
milligram,miligram
millilitre,mililitr
millimetre,milimetr
millionaire,milioner
million,milion
millisecond,milisekundę
mill,młyn
mime,mim
mimic,imitować
mince,siekać
mind,umysł
mineral,minerał
miner,górnik
mingle,mieszać
miniature,miniaturowy
minimal,minimalny
mini,mini
minimise,zminimalizować
minimum,minimum
minister,minister
ministry,ministerstwo
mink,norki
minnow,ogólna nazwa kilku drobnych ryb
minor,mniejszy
mint,mennica
minuscule,minuskuła
minus,minus
minute,minuta
miracle,cud
miraculous,cudowny
mirage,miraż
mire,błoto
mirror,lustro
mirth,wesołość
miscarry,poronić
miscellaneous,różne
mischief,psota
misconception,nieporozumienie
misconduct,złe prowadzenie się
miserable,nieszczęśliwy
misery,nieszczęście
misfortune,nieszczęście
misgiving,obawa
misguided,błędne
mishap,nieszczęście
misplace,zapodziać
misrepresent,zakłamać
missile,pocisk
mission,misja
miss,tęsknić
mistake,błąd
mister,pan
mistress,kochanka
mistrust,nieufność
mist,zamglenie
mite,grosz
mitigate,złagodzić
mitochondria,mitochondria
mitt,rękawica
mix,mieszać
mixture,mieszanina
moan,jęczeć
moat,fosa
mobile,mobilny
mobilise,zmobilizować
mob,tłum
mock,drwić
mockery,kpina
modality,modalność
modal,modalny
model,model
modem,modem
moderated,moderowane
moderate,umiarkowany
moderation,umiar
modern,nowoczesny
modest,skromny
mode,tryb
modify,modyfikować
mod,mod (modyfikacja do aplikacji)
modulate,modulować
module,moduł
mogul,potentat
moisture,wilgoć
moist,wilgotny
molar,molowy
molecule,cząsteczka
mole,kret
molest,molestować
mollusc,mięczak
molten,ciekły
momentous,ważny
momentum,pęd
moment,za chwilę
monarch,monarcha
monastery,klasztor
monastic,klasztorny
monday,poniedziałek
monde,monde
monetary,monetarny
money,pieniądze
mongol,Mongol
monitor,monitor
monkey,małpa
monk,mnich
monochrome,monochromia
monogamy,monogamia
monograph,monografia
monolith,monolit
monologue,monolog
monopoly,monopol
monotony,monotonia
monoxide,tlenek
monsieur,pan
monsoon,monsun
monster,potwór
montage,montaż
month,miesiąc
monument,pomnik
mood,nastrój
moon,księżyc
moor,cumować
moose,łoś
moot,sporny
mop,wycierać
morale,morale
moral,morał
moratorium,moratorium
morbid,chorobowy
more,jeszcze
moreover,ponadto
mores,obyczaje
morgue,kostnica
mormon,mormon
morning,ranek
moron,idiota
morose,posępny
morphine,morfina
morphology,morfologia
morsel,kąsek
mortal,śmiertelny
mortar,moździerz
mortgage,hipoteka
mortify,umartwiać
mortuary,kostnica
mosaic,mozaika
mosque,meczet
mosquito,komar
moss,mech
most,większość
motel,motel
moth,ćma
mother,mama
motif,motyw
motion,ruch
motive,motyw
motley,pstrokacizna
motor,silnik
mottle,plamka
motto,motto
moulding,odlewanie
mould,pleśń
mound,kopiec
mountain,góra
mount,uchwyt
mournful,smutny
mourn,opłakiwać
mouse,mysz
mousse,mus
moustache,wąsy
mouth,usta
move,ruszaj się
movie,film
mow,kosić
mrs,pani
ms,sm
much,dużo
muck,błoto
mucus,śluz
mud,błoto
muddle,zamęt
muffin,muffinka
muffle,stłumić
mugged,okradzionych
mug,kubek
mulch,chochoł
mule,muł
mull,galimatias
multicultural,wielokulturowy
multidisciplinary,wielodyscyplinarne
multilateral,wielostronny
multimedia,multimedialny
multinational,wielonarodowy
multiparty,wielopartyjny
multiple,wielokrotność
multiplicity,wielość
multiply,zwielokrotniać
multitude,mnogość
multivariate,wieloczynnikowej
multi,wielo
mumble,bełkot
mummies,mumie
mum,milczący
munch,chrupać
mundane,doczesny
municipal,komunalny
munition,amunicja
mural,fresk
murder,morderstwo
murky,mroczny
murmur,szmer
muscle,mięsień
muscular,muskularny
muse,muza
museum,muzeum
mush,papka
mushroom,grzyb
music,muzyka
musket,muszkiet
musk,piżmo
mussel,omułek
mustard,musztarda
muster,skrzyknąć
must,musieć
musty,stęchły
mutant,mutant
mutate,zmutować
mute,niemy
mutilate,okaleczyć
mutiny,bunt
mutter,mruczeć
mutual,wzajemny
muzzle,pysk
myocardial,zawał
myopia,krótkowzroczność
myriad,miriada
mystery,zagadka
mystic,mistyk
mystify,mistyfikować
mystique,mistyk
myth,mit
mythology,mitologia
nacional,nacional
nag,gderać
nah,nah
nail,gwóźdź
naive,naiwny
naked,nagi
name,nazwa
namesake,imiennik
nanny,niania
nap,drzemka
nape,kark
napkin,serwetka
nappy,pieluszka
narcotic,narkotyczny
narrate,opowiadać
narrow,wąski
nasal,nosowy
nascent,powstający
nasty,paskudny
nationality,narodowość
nation,naród
native,ojczysty
nativity,horoskop
naturalise,naturalizacji
nature,natura
naughty,niegrzeczny
nausea,nudności
nautical,nautyczny
navel,pępek
nave,nawa
navigate,nawigować
navy,marynarka wojenna
nay,nie
near,blisko
neat,schludny
nebula,mgławica
necessary,niezbędny
necessitate,wymagać
necessity,konieczność
necklace,naszyjnik
neck,szyja
necrosis,martwica
nectar,nektar
needle,igła
need,potrzeba
needy,potrzebujący
negate,negować
negative,negatywny
neglect,zaniedbanie
negligent,niedbały
negligible,nieistotny
negotiable,do negocjacji
negotiate,negocjować
negro,murzyn
neighbour,sąsiad
neither,ani
neon,neon
nephew,bratanek
nerve,nerw
nervous,nerwowy
nest,gniazdo
nestle,tulić
net,netto
nettle,pokrzywa
network,sieć
neural,nerwowy
neurology,neurologia
neuron,neuron
neurosis,nerwica
neurotic,nerwicowy
neurotransmitter,neuroprzekaźnikiem
neutral,neutralny
neutrino,neutrino
never,nigdy
nevertheless,niemniej jednak
new,nowy
news,aktualności
newspaper,gazeta
newt,traszka
next,kolejny
nexus,ogniwo
nibble,skubać
nice,miły
niche,nisza
nickel,nikiel
nick,nacięcie
nickname,przezwisko
nicotine,nikotyna
niece,siostrzenica
nigger,czarnuch
nightclub,klub nocny
nightmare,koszmar
night,noc
nil,zero
nimble,zwinny
nine,dziewięć
nipple,sutek
nip,skakać
nitrate,azotan
nitrogen,azot
noble,szlachetny
nobody,nikt
nocturnal,nocny
node,węzeł
nod,ukłon
nodule,guzek
noise,hałas
nomad,koczownik
nominal,nominalny
nominate,mianować
nominee,nominat
nonchalant,nonszalancki
nonetheless,niemniej jednak
none,żaden
no,nie
non,nie
nonsense,nonsens
noodle,makaron
nook,kącik
noon,południe
noose,pętla
nope,nie
nor,ani
nordic,nordycki
normal,normalna
normative,normatywna
norm,norma
northern,północny
north,północ
nose,nos
nostalgia,nostalgia
nostalgic,nostalgiczny
nostril,nozdrze
nosy,wścibski
notate,zapisywać
notch,karb
note,uwaga
nothing,nic
notice,ogłoszenie
notification,powiadomienie
notify,notyfikować
notion,pojęcie
not,nie
notoriety,rozgłos
notorious,notoryczny
notwithstanding,jednakże
nought,nic
noun,rzeczownik
nourish,karmić
novel,powieść
novelty,nowość
november,listopad
novice,nowicjusz
nowadays,dzisiaj
nowhere,nigdzie
now,teraz
noxious,szkodliwy
nozzle,dysza
nuance,niuans
nuclear,jądrowy
nucleotide,nukleotydów
nucleus,jądro
nude,nagi
nudge,szturchać
nugget,samorodek
nuisance,kłopot
null,zero
number,numer
numb,zdrętwiały
numeric,numeryczny
numerous,liczny
nun,siostra zakonna
nurse,pielęgniarka
nursery,żłobek
nurture,wychowanie
nutmeg,gałka muszkatołowa
nut,orzech
nutrient,odżywka
nutrition,odżywianie
nutritious,pożywny
nutty,orzechowy
nylon,nylon
nymph,nimfa
oak,dąb
oar,wiosło
oasis,oaza
oath,przysięga
oats,owies
obese,otyły
obey,być posłusznym
obituary,pośmiertny
objected,sprzeciwiło
objectify,zobiektywizować
objective,cel
object,obiekt
oblige,zobowiązać
oblique,ukośny
obliterate,wymazać
oblivion,zapomnienie
oblivious,niepomny
obnoxious,nieprzyjemny
obscene,nieprzyzwoity
obscure,niejasny
observance,przestrzeganie
observe,przestrzegać
obsess,prześladować
obsolete,przestarzały
obstacle,przeszkoda
obstetrics,położnictwo
obstinate,uparty
obstruct,blokować
obtain,uzyskać
obtrusive,natrętny
obvious,oczywisty
occasion,okazja
occult,okultystyczny
occupation,zawód
occupy,zająć
occur,pojawić się
ocean,ocean
ochre,ochra
octagon,ośmiokąt
octave,oktawa
october,październik
octopus,ośmiornica
odd,dziwny
ode,oda
odour,zapach
odyssey,odyssey
oedema,obrzęk
oesophagus,przełyk
offence,wykroczenie
offend,obrazić
offer,oferta
office,gabinet
officer,oficer
official,urzędnik
officiate,pełnić obowiązki
off,poza
offset,offsetowy
offspring,potomstwo
often,często
of,z
oil,olej
ointment,maść
ok,ok
old,stary
ole,ole
olive,oliwa
ombudsman,rzecznik
omega,omega
omelette,omlet
omen,omen
ominous,złowieszczy
omission,pominięcie
omit,pomijać
once,pewnego razu
one,jeden
onerous,uciążliwy
ongoing,trwający
onion,cebula
only,tylko
on,na
onset,początek
onslaught,atak
ontological,ontologiczny
onus,odpowiedzialność
onwards,dalej
ooze,muł
opaque,nieprzezroczysty
open,otwarty
opera,opera
operate,obsługiwać
opinion,opinia
opioid,opioid
opium,opium
opponent,przeciwnik
opportune,dogodny
opportunity,okazja
oppose,sprzeciwiać się
opposite,naprzeciwko
oppress,uciskać
optic,optyczny
optimal,optymalny
optimise,optymalizować
optimism,optymizm
optimist,optymista
optimum,optymalny
option,opcja
opt,optować
opulent,bogaty
oracle,wyrocznia
oral,doustny
orange,pomarańczowy
orator,orator
orbit,orbita
orb,kula
orchard,sad owocowy
orchestra,orkiestra
orchestrate,orkiestrować
orchid,orchidea
ordain,ordynować
ordeal,ciężka próba
order,zamówienie
ordinance,rozporządzenie
ordinary,zwyczajny
ordination,wyświęcenie
ordnance,artyleria
ore,kruszec
organic,organiczny
organism,organizm
organize,zorganizować
organ,organ
orgasm,orgazm
orgy,orgia
oriented,zorientowane
orient,orient
original,oryginalny
originate,pochodzić
origin,pochodzenie
or,lub
ornament,ornament
ornate,ozdobny
ornithology,ornitologia
orphan,sierota
orthodox,prawosławny
orthodoxy,prawowierność
orthopaedic,ortopedyczny
oscar,oscar
oscillate,oscylować
ostensible,pozorny
ostentatious,ostentacyjny
osteoporosis,osteoporoza
ostracise,ostracyzmu
ostrich,struś
other,inny
otherwise,inaczej
otter,wydra
ought,powinien
ounce,uncja
oust,wyrugować
outburst,wybuch
outcast,wyrzutek
outcome,wynik
outcrop,odkrywka
outcry,wrzask
outdated,przestarzały
outdo,przelicytować
outfit,strój
outgrow,wyrastać
